SCHOOL_CODE,SCHOOL_NAME,NETWORK
400153,ACERO - BRIGHTON PARK,Charter
400101,ACERO - CISNEROS,Charter
400120,ACERO - CLEMENTE,Charter
400081,ACERO - DE LAS CASAS,Charter
400082,ACERO - FUENTES,Charter
400085,ACERO - GARCIA HS,Charter
400112,ACERO - IDAR,Charter
400089,ACERO - MARQUEZ,Charter
400114,ACERO - SANTIAGO,Charter
400149,ACERO - SOTO HS,Charter
400084,ACERO - TAMAYO,Charter
400080,ACERO - TORRES,Charter
400079,ACERO - ZIZUMBO,Charter
400181,ART IN MOTION,Charter
400172,ASPIRA - BUSINESS & FINANCE HS,Charter
400013,ASPIRA - EARLY COLLEGE HS,Charter
400021,CATALYST - CIRCLE ROCK,Charter
400115,CATALYST - MARIA,Charter
400182,CATALYST MARIA HS,Charter
400161,CHICAGO COLLEGIATE,Charter
400035,CHICAGO MATH & SCIENCE HS,Charter
400159,CHRISTOPHER HOUSE,Charter
400023,CICS - AVALON/SOUTH SHORE,Charter
400024,CICS - BASIL,Charter
400092,CICS - BOND,Charter
400025,CICS - BUCKTOWN,Charter
400032,CICS - ELLISON HS,Charter
400027,CICS - IRVING PARK,Charter
400033,CICS - LONGWOOD,Charter
400026,CICS - LOOMIS,Charter
400034,CICS - NORTHTOWN HS,Charter
400028,CICS - PRAIRIE,Charter
400029,CICS - WASHINGTON PARK,Charter
400030,CICS - WEST BELDEN,Charter
400031,CICS - WRIGHTWOOD,Charter
400094,EPIC HS,Charter
400039,ERIE,Charter
400009,GLOBAL CITIZENSHIP,Charter
400168,GREAT LAKES,Charter
400167,HORIZON - SOUTHWEST,Charter
400104,INSTITUTO - HEALTH,Charter
400162,INTRINSIC HS,Charter
400146,KIPP - ACADEMY,Charter
400044,KIPP - ASCEND,Charter
400163,KIPP - BLOOM,Charter
400180,KIPP - ONE,Charter
400151,LEARN - 7,Charter
400046,LEARN - BUTLER,Charter
400047,LEARN - CAMPBELL,Charter
400048,LEARN - EXCEL,Charter
400165,LEARN - MIDDLE,Charter
400111,LEARN - PERKINS,Charter
400107,LEARN - SOUTH CHICAGO,Charter
400049,LEGACY,Charter
400119,LEGAL PREP HS,Charter
400011,LOCKE A,Charter
400116,MONTESSORI ENGLEWOOD,Charter
400178,MOVING EVEREST,Charter
400050,NAMASTE,Charter
400058,NLCP - CHRISTIANA HS,Charter
400059,NLCP - COLLINS HS,Charter
400170,NOBLE - ACADEMY HS,Charter
400157,NOBLE - BAKER HS,Charter
400097,NOBLE - BULLS HS,Charter
400156,NOBLE - BUTLER HS,Charter
400052,NOBLE - COMER,Charter
400118,NOBLE - DRW HS,Charter
400053,NOBLE - GOLDER HS,Charter
400117,NOBLE - HANSBERRY HS,Charter
400169,NOBLE - ITW SPEER HS,Charter
400106,NOBLE - JOHNSON HS,Charter
400179,NOBLE - MANSUETO HS,Charter
400098,NOBLE - MUCHIN HS,Charter
400051,NOBLE - NOBLE HS,Charter
400054,NOBLE - PRITZKER HS,Charter
400055,NOBLE - RAUNER HS,Charter
400056,NOBLE - ROWE CLARK HS,Charter
400057,NOBLE - UIC HS,Charter
400060,PASSAGES,Charter
400064,PERSPECTIVES - JOSLIN HS,Charter
400061,PERSPECTIVES - LEADERSHIP HS,Charter
400066,PERSPECTIVES - MATH & SCI HS,Charter
400062,PERSPECTIVES - TECH HS,Charter
400069,POLARIS,Charter
400071,PROVIDENCE ENGLEWOOD,Charter
400096,ROWE,Charter
400075,U OF C - DONOGHUE,Charter
400076,U OF C - NKO,Charter
400077,U OF C - WOODLAWN HS,Charter
400105,URBAN PREP - BRONZEVILLE HS,Charter
400086,URBAN PREP - ENGLEWOOD HS,Charter
400022,CHIARTS HS,Contract
400091,CHICAGO TECH HS,Contract
