SCHOOL_CODE,SCHOOL_NAME,NETWORK
910496,0482 VIRTUAL HR EVE,
910496,0482 VIRTUAL HR EVE,
310496,0482 VIRTUAL HR SUM,
310496,0482 VIRTUAL HR SUM,
850117,4 EVER YOUNG,
850117,4 EVER YOUNG,
800088,AAA ACADEMY,
800088,AAA ACADEMY,
800090,AAA ACADEMY II,
800090,AAA ACADEMY II,
800089,AAA ACADEMY INTENSIVE,
800089,AAA ACADEMY INTENSIVE,
800300,ACACIA - BURR RIDGE,
800300,ACACIA - BURR RIDGE,
800037,ACACIA ACADEMY - INTENSIVE ES,
800037,ACACIA ACADEMY - INTENSIVE ES,
800038,ACACIA ACADEMY - INTENSIVE HS,
800038,ACACIA ACADEMY - INTENSIVE HS,
800035,ACACIA ACADEMY ES,
800035,ACACIA ACADEMY ES,
800036,ACACIA ACADEMY HS,
800036,ACACIA ACADEMY HS,
850014,ADA S MCKINLEY COMM SRVCS,
850014,ADA S MCKINLEY COMM SRVCS,
909772,ADDAMS EVE,
909772,ADDAMS EVE,
309772,ADDAMS SUM,
309772,ADDAMS SUM,
910513,AIR FORCE HS EVE,
910513,AIR FORCE HS EVE,
310513,AIR FORCE HS SUM,
310513,AIR FORCE HS SUM,
850018,ALBANY PARK COMM CTR - KIMBALL,
850018,ALBANY PARK COMM CTR - KIMBALL,
910212,ALBANY PARK EVE,
910212,ALBANY PARK EVE,
310212,ALBANY PARK SUM,
310212,ALBANY PARK SUM,
909774,ALCOTT ES EVE,
909774,ALCOTT ES EVE,
309774,ALCOTT ES SUM,
309774,ALCOTT ES SUM,
910524,ALCOTT HS EVE,
910524,ALCOTT HS EVE,
310524,ALCOTT HS SUM,
310524,ALCOTT HS SUM,
909848,ALDRIDGE EVE,
909848,ALDRIDGE EVE,
309848,ALDRIDGE SUM,
309848,ALDRIDGE SUM,
850019,ALL STAR KIDS ACADEMY,
850019,ALL STAR KIDS ACADEMY,
800156,ALLENDALE RES SCHOOL PROG - INT ES,
800156,ALLENDALE RES SCHOOL PROG - INT ES,
800157,ALLENDALE RES SCHOOL PROG - INT HS,
800157,ALLENDALE RES SCHOOL PROG - INT HS,
800154,ALLENDALE RESIDENTIAL SCHL PROG ES,
800154,ALLENDALE RESIDENTIAL SCHL PROG ES,
800155,ALLENDALE RESIDENTIAL SCHL PROG HS,
800155,ALLENDALE RESIDENTIAL SCHL PROG HS,
850021,ALLISONS INFANT AND TODDER CENTER,
850021,ALLISONS INFANT AND TODDER CENTER,
850022,ALLISONS INFANT AND TODDLER - 71ST,
850022,ALLISONS INFANT AND TODDLER - 71ST,
850020,ALLISONS INFANT AND TODDLER - NORTH CAMPUS,
850020,ALLISONS INFANT AND TODDLER - NORTH CAMPUS,
909695,AMUNDSEN HS EVE,
909695,AMUNDSEN HS EVE,
309695,AMUNDSEN HS SUM,
309695,AMUNDSEN HS SUM,
800244,ANDREW HS,
800244,ANDREW HS,
850039,ARCDOCESE CHICAGO ARTS OF LVNG,
850039,ARCDOCESE CHICAGO ARTS OF LVNG,
850145,ARCHDIOCS CHICAGO - ST ETHELREDA,
850145,ARCHDIOCS CHICAGO - ST ETHELREDA,
909951,ARIEL EVE,
909951,ARIEL EVE,
309951,ARIEL SUM,
309951,ARIEL SUM,
800117,ARLYN DAY SCHOOL - EXTENDED ES,
800117,ARLYN DAY SCHOOL - EXTENDED ES,
800118,ARLYN DAY SCHOOL - EXTENDED HS,
800118,ARLYN DAY SCHOOL - EXTENDED HS,
800115,ARLYN DAY SCHOOL ES,
800115,ARLYN DAY SCHOOL ES,
800116,ARLYN DAY SCHOOL HS,
800116,ARLYN DAY SCHOOL HS,
800119,ARLYN TRANSITION PROGRAM,
800119,ARLYN TRANSITION PROGRAM,
800120,ARLYN TRANSITION PROGRAM-INTENSIVE,
800120,ARLYN TRANSITION PROGRAM-INTENSIVE,
909777,ARMOUR EVE,
909777,ARMOUR EVE,
309777,ARMOUR SUM,
309777,ARMOUR SUM,
909779,ARMSTRONG G EVE,
909779,ARMSTRONG G EVE,
309779,ARMSTRONG G SUM,
309779,ARMSTRONG G SUM,
910287,ASHBURN EVE,
910287,ASHBURN EVE,
310287,ASHBURN SUM,
310287,ASHBURN SUM,
910268,ASHE EVE,
910268,ASHE EVE,
310268,ASHE SUM,
310268,ASHE SUM,
850023,ASIAN HUMAN SERVICE-LEAF PROGRAM,
850023,ASIAN HUMAN SERVICE-LEAF PROGRAM,
909782,AUDUBON EVE,
909782,AUDUBON EVE,
309782,AUDUBON SUM,
309782,AUDUBON SUM,
910518,AUSTIN CCA HS EVE,
910518,AUSTIN CCA HS EVE,
310518,AUSTIN CCA HS SUM,
310518,AUSTIN CCA HS SUM,
909786,AVALON PARK EVE,
909786,AVALON PARK EVE,
309786,AVALON PARK SUM,
309786,AVALON PARK SUM,
910325,AVONDALE-LOGANDALE EVE,
910325,AVONDALE-LOGANDALE EVE,
310325,AVONDALE-LOGANDALE SUM,
310325,AVONDALE-LOGANDALE SUM,
910544,AZUELA EVE,
910544,AZUELA EVE,
310544,AZUELA SUM,
310544,AZUELA SUM,
910563,BACK OF THE YARDS HS EVE,
910563,BACK OF THE YARDS HS EVE,
310563,BACK OF THE YARDS HS SUM,
310563,BACK OF THE YARDS HS SUM,
800000,BANNER THERAPEUTIC ES,
800000,BANNER THERAPEUTIC ES,
800001,BANNER THERAPEUTIC HS,
800001,BANNER THERAPEUTIC HS,
909788,BARNARD EVE,
909788,BARNARD EVE,
309788,BARNARD SUM,
309788,BARNARD SUM,
909789,BARRY EVE,
909789,BARRY EVE,
309789,BARRY SUM,
309789,BARRY SUM,
909790,BARTON EVE,
909790,BARTON EVE,
309790,BARTON SUM,
309790,BARTON SUM,
909791,BASS EVE,
909791,BASS EVE,
309791,BASS SUM,
309791,BASS SUM,
909792,BATEMAN EVE,
